seed	n_docs	lang	bytes_gmean	bytes_gstd	bytes_total	chars_gmean	chars_gstd	chars_total	tresholded_vocab	vocab_size	words_gmean	words_gstd	words_total
1708168921	5000	pt	3912.3556638072	4.85720525544677	57636405	3791.86264153538	4.86364896930245	55919181	17658	277114	726.694234213875	4.85952400093555	10593802
1708168924	10000	ceb	262.621582357092	1.49809455684957	3149946	260.932769834967	1.49928700962177	3132701	940	31782	50.7725030834177	1.49937923500563	609424
1708168927	10000	ceb	262.892702682028	1.49744569761456	3152575	261.1988879264	1.4986450892397	3135278	944	31777	50.8337596451991	1.49886967394285	610007
1708168929	5000	sv	3315.77934568897	3.53909760882741	35253258	3193.08436969183	3.5425253228044	33970260	22443	339083	552.189042940326	3.53584069916534	5861352
1708168930	5000	pl	3823.42428489719	4.56180783874101	56895957	3622.3299531126	4.56956933154267	54131037	36818	488831	603.905527474235	4.65255199171178	9277042
1708168930	10000	ceb	262.750094243801	1.49951541138476	3152996	261.054841798339	1.50073487131651	3135702	950	31820	50.8081655522931	1.50073332682467	610110
1708168931	5000	nl	4753.34621853583	3.69519219116656	49001385	4737.64395423279	3.69619762231733	48851672	19906	342392	851.921077890693	3.73015559233701	8843656
1708168932	10000	ceb	262.763602866327	1.49929042289261	3152967	261.074981707291	1.5004858188081	3135724	942	31817	50.7982189654758	1.50058271250934	609989
1708168934	5000	es	8992.80820536314	4.10004551956795	97882659	8811.7353419341	4.10043904217003	95904995	23499	415500	1663.5197231946	4.16791119813753	18211658
1708168935	10000	ceb	262.683844540279	1.49954401238582	3152287	260.990156136234	1.50074414904947	3134996	942	31824	50.7867753331284	1.50093448625679	609906
1708168936	10000	arz	1034.33966906482	3.27744497501932	25415858	590.578237827904	3.29245105602918	14523000	19064	219644	115.051314396831	3.37191100843452	2897371
1708168937	5000	zh	3806.41914376864	4.68439650578557	53084937	1462.42152874074	4.64982103801706	19878971	17441	240235	881.046231113317	4.62102699220385	12065517
1708168939	5000	uk	4730.74149747108	3.76119881980165	54954438	2630.92205722054	3.76406389936954	30609322	27081	336535	456.053336350888	3.76336194678923	5374420
1708168940	5000	it	2677.32651271528	6.03393967704426	46390686	2656.35773488685	6.0293311547705	46048098	20208	290028	459.536528239891	6.22399692742801	8144481
1708168948	10000	arz	1030.02252844281	3.26373127403719	25128781	588.176924866748	3.27807449900965	14356352	18895	218451	114.617363697485	3.35572430700393	2857874
1708168950	5000	ja	9827.95694175492	3.82703849069735	101846387	3766.92339927226	3.78181301136754	38434307	15670	277412	1977.25515213467	3.88038907553836	20684249
1708168952	5000	ar	7058.76238869855	4.52910349420298	93287206	3951.72686538189	4.52211619147341	52000642	39133	529665	755.791429552506	4.52019664952587	9890550
1708168952	5000	sv	3290.5099824498	3.52164749359636	34931101	3168.99328543057	3.52484169993869	33661486	22226	335978	547.78596308914	3.51561272040278	5799418
1708168955	5000	de	11240.7163711875	4.01714428238277	117319668	11049.8513850278	4.01860675564248	115363349	37976	723430	1877.62064848325	3.99441269738194	19393103
1708168955	5000	fr	9332.78966648937	3.89009457693411	98410352	9014.990327459	3.88769766661106	95058131	23647	417885	1695.43014046574	3.91431054798002	17847854
1708168959	10000	arz	1030.08813097652	3.26921209771628	25334022	588.226784413146	3.2838974012627	14477898	19026	219532	114.609876145395	3.36108266160878	2887198
1708168962	5000	ru	8276.06614784442	4.39102778570342	110675522	4609.02147894946	4.39635100250728	61508583	39286	526466	811.881475618228	4.34042911060138	10624715
1708168962	5000	uk	4674.07761918544	3.75785530318217	54325203	2600.07004364977	3.7604325301942	30263115	25474	325764	450.926991355573	3.75573864890382	5303802
1708168964	5000	pt	3947.96615193244	4.87087550291646	58135906	3826.2600716933	4.87704719577957	56397497	17738	278470	733.146323762747	4.8764674776916	10692135
1708168965	5000	vi	4937.27266270891	4.24436978067948	66149189	3836.77372854227	4.2201622390854	50979712	5964	175900	949.538543478931	4.18643253197978	12514785
1708168966	5000	nl	4752.50367913465	3.70035384159438	49030444	4736.80505917604	3.70127286984167	48879468	19905	343358	852.411054300616	3.73681070994026	8852471
1708168968	1000	id	4612.68716539649	4.59933004530928	11406936	4599.36305681715	4.60047016884197	11380215	8007	101902	769.672128105474	4.53929351427533	1882498
1708168969	1000	ca	4925.00010874308	4.74568013497357	12813565	4801.4331677622	4.75321096885726	12506706	9468	124431	913.006287130814	4.7651099103209	2375765
1708168971	10000	arz	1031.95181346892	3.26389289495578	25213913	589.117177736718	3.27910816255202	14408236	18963	218909	114.757282054906	3.35820567969638	2874440
1708168974	5000	pl	3861.15084934411	4.59048464839543	57845789	3658.31430212974	4.59882400368255	55047695	35567	492280	610.240387112609	4.68131191668948	9449496
1708168975	1000	id	4807.07431137694	4.51926028886307	11547278	4795.01416887174	4.51955565208768	11521709	8137	103112	803.191412060944	4.4613766921819	1907413
1708168975	5000	sv	3334.35372471983	3.51952764963978	35355975	3211.4037395181	3.52236204049733	34071800	22439	339538	554.927629508849	3.51486154547488	5869630
1708168976	1000	fi	6586.58859665033	4.03042392325395	12891030	6343.67585837306	4.01762010440771	12411236	17998	226635	954.875788430801	4.11062059077688	1854901
1708168976	5000	it	2681.44570222552	6.06426900433916	46762147	2660.57184430531	6.05944944820005	46416771	20344	292404	460.046377598746	6.25918251291799	8212439
1708168978	1000	ca	5131.43910479012	4.53983065341438	12792385	5000.8949941955	4.54887044552786	12490044	9979	125087	951.004060294682	4.55978660117686	2375324
1708168979	1000	fa	4674.3563171536	4.86163224534016	14786015	2601.5715013028	4.84324535432488	8176219	8223	103494	526.359760979681	5.02295227962937	1729879
1708168980	1000	ko	3875.24116659038	4.14439269940895	9481310	1763.91201352023	4.13292373366337	4219099	18002	212739	588.473203587709	3.67414525701987	1285259
1708168981	1000	no	4526.6159294162	3.41502853193664	8863228	4418.03879187932	3.4128328475221	8666863	9567	129915	822.955336435963	3.41587427543462	1592894
1708168981	1000	uz	940.44395265438	7.42040811787426	4775772	892.985107560307	7.57924651413922	4656211	8566	89494	150.239553706184	7.7522904795998	777277
1708168982	1000	id	4527.7384588703	4.53901356892869	11070139	4514.63888896729	4.53966333397112	11042516	7924	100745	755.988878510128	4.49281516993351	1831144
1708168983	1000	fi	6643.66945469759	4.06321798888675	12756005	6398.98161034425	4.04902035330465	12280510	17874	225512	964.259488250246	4.1139251106796	1834273
1708168983	1000	he	9700.00570749887	3.41628219326152	18461694	5531.480192876	3.40931455458463	10468543	18007	166603	1128.5083772375	3.44266650867791	2136113
1708168983	10000	arz	1032.41308393029	3.25379479766538	25238005	589.538475039606	3.26857871747854	14423695	19002	219106	114.880367559939	3.34817284155991	2877997
1708168984	1000	hu	5017.58481060634	3.48053313007443	10237939	4571.82081826362	3.47355681234722	9315082	15623	186364	800.480355566697	3.49300476055564	1611138
1708168984	1000	uz	968.721214649736	6.97019616399647	4739274	924.710422300552	7.09609533690371	4620512	8362	86690	156.86247501142	7.20760112356788	771298
1708168985	1000	kk	3803.3548773309	3.99010819132064	9240504	2122.71126611736	3.97046577648324	5110233	11545	107219	358.53535093523	3.94680817466001	857233
1708168985	1000	ro	2885.49497069145	5.16060238283261	9247056	2785.75710802115	5.1240586899407	8864480	8916	115161	574.737924953092	4.85377140430742	1735008
1708168985	5000	uk	4670.53579948921	3.7757886990273	54837316	2597.69357379969	3.77780698350272	30536654	25837	327535	450.110358944132	3.77350125460709	5345199
1708168986	1000	ko	3986.59333477518	4.01554230920721	9495415	1814.9719450184	4.00645701666445	4237840	18072	213577	605.806459479669	3.56875969651565	1296281
1708168986	1000	ms	1887.21859855495	4.56215325247213	5538253	1880.15832903618	4.5611976091219	5521674	6013	63637	313.448839525644	4.59181982071305	918720
1708168986	50000	ceb	246.864669325683	1.61736180584211	14905741	245.559589772912	1.61993987172424	14831100	3152	102234	47.4280023507286	1.58181265922187	2833555
1708168987	1000	fa	5123.21785027435	5.10567339940641	16015191	2852.3396006784	5.08838737159861	8870756	8312	105885	578.50399139853	5.2852093150132	1872893
1708168987	1000	uz	888.16790502194	7.00536617785116	4340273	845.320160192912	7.13573250644502	4230261	7799	82886	143.106176697941	7.28385295947286	706540
1708168988	1000	ca	5005.3804783949	4.70365488406008	12986228	4877.12676497848	4.71190909294726	12673887	10076	129573	923.544568888313	4.74111136197246	2406628
1708168988	1000	da	1575.17810635201	4.20803947939281	4681956	1539.37028803699	4.21298190147168	4579967	7342	89074	284.056756335779	4.21409346582187	835896
1708168988	1000	kk	3707.85202886039	4.08879920219372	9044333	2066.50918623692	4.07389325028634	5000641	11190	105362	347.477459143893	4.06472693431864	831164
1708168988	1000	no	4604.01215758178	3.29807054446709	8654225	4490.74158079869	3.29528798787659	8456621	9378	127412	842.402161563085	3.2857548207507	1560466
1708168988	5000	zh	3861.9010633824	4.66667627588378	53483800	1482.84911228452	4.63183388102756	20018064	17733	244101	893.185441961403	4.60393281134366	12147164
1708168989	1000	ms	1927.72441482329	4.61595266561502	5758953	1922.10832428043	4.61200661080464	5742981	6212	65960	319.998587541585	4.65121379808412	956604
1708168989	1000	uz	923.721611779797	7.09621704547	4586935	882.13022668804	7.21218874099414	4471850	8128	85567	149.044037468036	7.3574717545016	746205
1708168990	1000	id	4898.5781394211	4.37874605557058	11534123	4885.5010629047	4.37873220351979	11506819	8123	102321	817.864844398448	4.32829384129684	1905129
1708168991	1000	da	1617.25282623707	4.23707220715071	4700011	1580.52368876203	4.24079004625073	4596855	7381	90989	289.85442980404	4.25791747925078	838870
1708168991	1000	fi	6650.36064355196	4.00004307274885	12687815	6403.73784161272	3.98650491052646	12211555	17770	224360	966.7473040142	4.03955840857343	1827913
1708168991	1000	hu	5069.3818503626	3.5740337539064	10435423	4616.66895342962	3.56973179049834	9492778	15917	188353	806.189460552004	3.5757232550185	1636719
1708168991	1000	kk	3715.10851533875	4.21707574284181	9326448	2066.81318147784	4.20150970051506	5151137	11450	106642	344.790660619114	4.18285933407383	851924
1708168991	1000	ko	3996.52446440393	4.03459620008153	9607249	1825.81743630233	4.02411177859571	4296302	18358	211913	605.087200626076	3.61335209830032	1303821
1708168991	1000	ro	2867.15980591827	5.25818927928003	9301211	2767.3569675476	5.22503501657383	8919078	9454	119781	569.157139722268	4.95592508375389	1741136
1708168991	1000	ur	3171.60338461527	4.36170596218073	11444389	1815.98982861641	4.33735403448687	6488103	5142	64828	403.428867804293	4.47057586754842	1495838
1708168992	1000	he	10161.5878833449	3.32932168463997	18518361	5792.07362259675	3.32147096586812	10500049	18041	167165	1180.49671718366	3.35032296764962	2137167
1708168992	1000	tr	2961.84972780808	4.77230708462879	7929280	2749.59763191836	4.77100210013388	7340699	11822	134858	501.518362866138	4.66218665841614	1284093
1708168992	1000	uz	967.752040645795	6.96769579900113	4552102	917.830960836968	7.13610404849476	4438094	8089	85746	155.019172249917	7.29410563064311	744048
1708168993	1000	az	311.212391016945	7.21510783044635	3111948	273.80785845525	7.16505104010836	2697761	6257	61486	40.6865548025853	8.0023091791886	441206
1708168993	1000	bg	9067.17731280292	3.09221280327746	15194785	5161.95182776469	3.08994320262226	8595189	9085	118071	1027.02490532134	3.12763671974908	1693690
1708168993	1000	ms	1884.73370770707	4.78237381197455	5783304	1878.02170852806	4.77972346078756	5765804	6193	64465	313.00061209689	4.81454908484972	958112
1708168994	1000	be	1152.57657281214	4.12721048131074	3611843	656.518943331302	4.11398316488903	2036206	5560	57308	120.618340805761	4.05116321741724	360970
1708168994	1000	da	1657.891512453	4.34616190101641	5134076	1620.48287174041	4.34979000689878	5022486	7950	95780	297.061275976951	4.38568537524459	915092
1708168994	1000	fa	5058.07347324877	4.78307438880711	15447398	2815.75370556144	4.76670944394918	8554705	8084	102497	569.953896355061	4.93362890358464	1797081
1708168994	1000	kk	3527.89032690015	4.24577674754798	8841732	1963.82406745527	4.23104441999169	4885946	10859	103119	329.203860908347	4.20486236148587	808711
1708168994	1000	no	4620.71550966022	3.3685929584435	8860730	4505.80581135057	3.36678259875205	8657700	9594	129964	842.967883815115	3.35813479506152	1595645
1708168995	1000	az	333.271005592338	7.5895635894521	3580834	293.070944849262	7.53342125619482	3102552	7100	66989	43.6296738020582	8.39991967257909	507902
1708168995	1000	eu	471.932429064662	9.13836160899567	4652453	471.314321175083	9.12733952266628	4638661	4153	69028	76.2234163263895	10.6316165542013	863092
1708168995	1000	hy	2117.67977802004	6.38643137809348	11565815	1210.82893533083	6.24090701853767	6377692	10859	122377	210.886567541743	6.12850045132006	1051794
