metric,score,lang,partition,task
precision,0.9409046882743792,yo,pre_filtered,masakhapos
recall,0.9410340653639979,yo,pre_filtered,masakhapos
f1,0.9409693723720642,yo,pre_filtered,masakhapos
precision,0.6698047317482204,yo,pre_filtered,sib200
recall,0.6568627450980392,yo,pre_filtered,sib200
f1,0.6632706121984441,yo,pre_filtered,sib200
precision,0.5483870967741935,am,pre_filtered,masakhaner
recall,0.6093189964157706,am,pre_filtered,masakhaner
f1,0.5772495755517827,am,pre_filtered,masakhaner
precision,0.7834015175045137,am,pre_filtered,AfriSenti-Twitter
recall,0.27963981990995496,am,pre_filtered,AfriSenti-Twitter
f1,0.4121575550485567,am,pre_filtered,AfriSenti-Twitter
precision,0.8576513989645715,am,pre_filtered,masakhanews
recall,0.8563829787234043,am,pre_filtered,masakhanews
f1,0.8570167195156217,am,pre_filtered,masakhanews
precision,0.9103535353535354,sn,pre_filtered,masakhaner2
recall,0.9351491569390402,sn,pre_filtered,masakhaner2
f1,0.9225847728726808,sn,pre_filtered,masakhaner2
precision,0.8898869131293808,sn,pre_filtered,masakhanews
recall,0.8888888888888888,sn,pre_filtered,masakhanews
f1,0.8893876210265808,sn,pre_filtered,masakhanews
precision,0.8766673641665242,sn,pre_filtered,masakhapos
recall,0.8813165537270087,sn,pre_filtered,masakhapos
f1,0.8789858112899679,sn,pre_filtered,masakhapos
precision,0.6053399610088415,sn,pre_filtered,sib200
recall,0.5980392156862745,sn,pre_filtered,sib200
f1,0.60166744201027,sn,pre_filtered,sib200
precision,0.7874698795180722,zu,pre_filtered,masakhaner2
